prompt,seed,width,height,sampler,cfgs,steps,filename,negative_prompt
"a large, open room with a hardwood floor and white walls. The room is adorned with a collection of artwork, including a variety of paintings and pictures hanging on the walls. There are at least 12 paintings displayed in the room, showcasing different styles and colors. In addition to the artwork, the room also contains a couch situated in the left corner, providing a comfortable seating area for relaxation or conversation. The combination of the artwork and the cozy couch creates an inviting and aesthetically pleasing atmosphere in the room.",3986283951,512,512,DPM++ 2M Karras,7,20,00010-3986283951.png,
"a cozy living room with a black wall and a white couch placed in the center. The couch is surrounded by several pillows, adding to the comfortable atmosphere. A coffee table is situated in front of the couch, and a lamp is placed nearby, providing additional lighting. In addition to the main couch, there are two other couches in the room, one on the left side and another on the right side. A chair is also present in the room, positioned close to the right couch. The room is adorned with a collection of paintings on the walls, creating a visually appealing and artistic environment.",247339118,512,512,DPM++ 2M Karras,7,20,00011-247339118.png,
"a large, modern living room with a black and white color scheme. The room is furnished with two couches, one located on the left side and the other on the right side. A coffee table is placed in the center of the room, surrounded by the couches. There are several books scattered around the room, with some placed on the coffee table and others on the floor. A vase can be seen on the right side of the room, adding a decorative touch to the space. The room also has a fireplace, which serves as a focal point and contributes to the cozy atmosphere.",2107387477,512,512,DPM++ 2M Karras,7,20,00012-2107387477.png,
"a large, open living room with a fireplace as the focal point. The room is filled with furniture, including a couch situated near the left side of the room, a chair on the right side, and a dining table in the middle. There are also two additional chairs in the room, one near the dining table and another closer to the right side of the room. A few books are scattered around the room, with one on the dining table and another on the floor near the couch. A vase can be seen on the dining table, adding a decorative touch to the space. The room is well-lit, with natural light coming in through the windows, creating a warm and inviting atmosphere.",2623760022,512,512,DPM++ 2M Karras,7,20,00013-2623760022.png,
"a spacious and well-lit living room with a large window that allows natural light to fill the room. The room is furnished with a couch, a dining table, and several chairs. The dining table is surrounded by chairs, and there is a vase placed on the table, adding a decorative touch to the space. In addition to the main furniture, there are a few other items in the room, such as a potted plant, a clock, and a couple of books. The living room also has a fireplace, which adds warmth and ambiance to the space. The overall atmosphere of the room is inviting and comfortable, making it an ideal space for relaxation and socializing.",3636029602,512,512,DPM++ 2M Karras,7,20,00014-3636029602.png,
"a spacious and well-lit living room with large windows that allow natural light to fill the space. The room features two couches, one positioned against the wall and the other placed in the center of the room. A chair is also present in the room, situated near the center couch. There are several potted plants scattered throughout the room, adding a touch of greenery and life to the space. Some of the plants are placed near the windows, while others are located closer to the furniture. A vase can be seen on a surface in the room, further enhancing the room's decor. The combination of furniture, plants, and natural light creates a comfortable and inviting atmosphere in the living room.",185524266,512,512,DPM++ 2M Karras,7,20,00015-185524266.png,
"a cozy living room with a large window that allows natural light to fill the space. The room is furnished with a couch and a coffee table, both placed near the window. There are several potted plants in the room, with one large plant on the left side, another on the right side, and a smaller one on the coffee table. In addition to the plants, there are two vases in the room, one on the coffee table and another on the floor. A chair is also present in the room, positioned near the couch. The overall atmosphere of the living room is inviting and comfortable, with the plants and natural light creating a pleasant environment.",3583770583,512,512,DPM++ 2M Karras,7,20,00016-3583770583.png,
"a spacious living room filled with various furniture and an abundance of potted plants. There are two couches in the room, one located on the left side and the other on the right side. A chair is also present, situated near the left couch. The living room is adorned with several potted plants, some of which are placed on the floor and others on the windowsill. The plants are of different sizes and are scattered throughout the room, adding a touch of greenery and life to the space. In addition to the plants, there are a few books placed on the floor, and a cup can be seen on a surface in the room. The overall atmosphere of the living room is cozy and inviting, with the plants and furniture creating a comfortable and relaxing environment.",1760002953,512,512,DPM++ 2M Karras,7,20,00017-1760002953.png,
"a spacious living room filled with various furniture and an abundance of potted plants. There are two couches in the room, one located on the left side and the other on the right side. A chair is also present, situated near the left couch. The living room is adorned with several potted plants, some of which are placed on the floor and others on the windowsill. The plants are of different sizes and are scattered throughout the room, adding a touch of greenery and life to the space. In addition to the plants, there are a few books placed on the floor, and a cup can be seen on a surface in the room. The overall atmosphere of the living room is cozy and inviting, with the plants and furniture creating a comfortable and relaxing environment.",1410282262,512,512,DPM++ 2M Karras,7,20,00018-1410282262.png,
"a cozy living room with a large window that allows natural light to fill the space. The room is furnished with a couch and a bench, both placed near the window. The couch is positioned on the right side of the room, while the bench is located on the left side. The living room is adorned with several potted plants, creating a lush and green atmosphere. There are three large potted plants placed around the room, with one on the left side, one in the center, and another on the right side. Additionally, there are two smaller potted plants, one on the left side and another on the right side of the room. The combination of the plants and the natural light from the window creates a serene and inviting environment.",3475661887,512,512,DPM++ 2M Karras,7,20,00019-3475661887.png,
"a cozy living room with a large couch situated in the center of the space. The couch is surrounded by several potted plants, creating a lush and green atmosphere. There are at least five potted plants in the room, with some placed near the couch and others scattered around the room. In addition to the plants, there are two vases in the room, one located near the couch and the other placed further away. A book can be seen on the couch, possibly indicating that someone was recently reading or relaxing in the room. The overall ambiance of the living room is inviting and comfortable, with the plants and furniture creating a pleasant environment.",2277010900,512,512,DPM++ 2M Karras,7,20,00020-2277010900.png,
